name,smiles,stress_type,reagent,severity,temp_bin,duration_bin,strength_bin,temperature_mean,duration_mean,strength_mean,pH_mean,initial_api_percent,initial_degradant_percent,true_api_loss_percent,true_degradant_percent,model_predicted_api_loss_percent,model_predicted_degradant_percent,avg_mass,logP,logS,PSA,HBD,HBA,rot_bonds,rings,pKa_acid,pKa_base,smb_mass_balance,amb_mass_balance,amb_deficiency,rmb_mass_balance,rmb_deficiency
Mazindol,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1,acid_hydrolysis,HCl,mild,low,medium,low,25.0,6.0,0.01,2.0,100.0,0.0,1.0,0.5,1.89,0.76,284.74,3.44,-3.3,35.83,1.0,3.0,1.0,4.0,11.61,3.86,98.87,98.87,1.1299999999999955,40.2116402116402,59.7883597883598
Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,4.0,0.8,3.36,1.4,286.4516,4.69,-4.6,20.23,1.0,1.0,5.0,1.0,16.44,-2.2,98.04,98.04,1.9599999999999937,41.66666666666667,58.33333333333333
Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,base_hydrolysis,NaOH,mild,low,medium,low,25.0,6.0,0.01,12.0,100.0,0.0,3.0,1.0,2.23,0.94,337.3461,0.64,-2.4,71.11,1.0,5.0,4.0,3.0,14.85,-1.2,98.71,98.71,1.2900000000000063,42.152466367712925,57.847533632287075
Fosinopril,CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,4.0,1.5,3.27,1.35,563.672,5.62,-5.8,110.21,1.0,5.0,15.0,3.0,3.87,-4.4,98.08,98.08,1.9200000000000017,41.284403669724824,58.715596330275176
Pimecrolimus,[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,16.0,5.0,12.32,5.24,810.46,6.81,-5.7,158.13,2.0,10.0,6.0,4.0,9.96,-2.9,92.92,92.92,7.079999999999998,42.532467532467564,57.467532467532436
Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,base_hydrolysis,NaOH,strong,high,short,high,60.0,0.5,1.0,14.0,100.0,0.0,15.0,7.0,15.68,6.71,255.3547,3.81,-4.8,21.26,1.0,2.0,6.0,2.0,,9.8,91.02999999999999,91.02999999999999,8.970000000000013,42.79336734693875,57.20663265306125
Ethionamide,CCC1=NC=CC(=C1)C(N)=S,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,7.0,2.0,6.12,2.51,166.243,1.33,-2.3,38.91,1.0,1.0,2.0,1.0,11.89,5.0,96.39,96.39,3.6099999999999994,41.0130718954248,58.9869281045752
Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,acid_hydrolysis,HCl,moderate,mid,short,high,40.0,1.0,1.0,0.5,100.0,0.0,6.0,1.5,5.55,2.23,430.7061,10.51,-7.8,29.46,1.0,2.0,12.0,2.0,10.8,-4.9,96.68,96.68,3.319999999999993,40.1801801801802,59.8198198198198
Mazindol,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,5.0,2.5,5.7,2.36,284.74,3.44,-3.3,35.83,1.0,3.0,1.0,4.0,11.61,3.86,96.66,96.66,3.3400000000000034,41.4035087719298,58.5964912280702
Reboxetine,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,10.0,5.0,12.02,5.11,313.397,3.28,-4.2,39.72,1.0,4.0,6.0,3.0,,7.91,93.09,93.09,6.909999999999997,42.51247920133113,57.48752079866887
Ornithine,NCCC[C@H](N)C(O)=O,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,2.0,1.0,3.0,1.25,132.161,-3.7,0.11,89.34,3.0,4.0,4.0,0.0,2.67,10.29,98.25,98.25,1.75,41.66666666666667,58.33333333333333
Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,2.0,1.0,3.07,1.29,176.1241,-1.9,0.14,107.22,4.0,5.0,2.0,1.0,4.16,-3.0,98.22000000000001,98.22000000000001,1.779999999999987,42.01954397394147,57.98045602605853
Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,6.0,3.0,5.68,2.36,307.4293,4.19,-5.4,12.47,0.0,2.0,4.0,4.0,,9.54,96.67999999999999,96.67999999999999,3.3200000000000074,41.54929577464784,58.45070422535216
Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,3.0,1.5,3.2,1.31,287.3981,4.38,-4.3,3.24,0.0,1.0,0.0,4.0,,8.05,98.11,98.11,1.8900000000000006,40.937499999999964,59.062500000000036
Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,4.0,1.0,3.43,1.4,213.661,-0.78,-2.5,63.32,2.0,3.0,4.0,1.0,3.89,9.79,97.97,97.97,2.030000000000001,40.816326530612166,59.183673469387834
Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,5.0,2.0,5.79,2.43,318.34,2.8,-4.6,56.84,1.0,4.0,10.0,1.0,,8.86,96.64,96.64,3.3599999999999994,41.9689119170984,58.0310880829016
Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,12.0,6.0,12.48,5.31,176.1241,-1.9,0.14,107.22,4.0,5.0,2.0,1.0,4.16,-3.0,92.83,92.83,7.170000000000002,42.548076923076906,57.451923076923094
Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,7.0,2.5,6.14,2.58,434.4977,1.56,-4.1,93.06,2.0,6.0,2.0,5.0,13.73,-2.9,96.44,96.44,3.5600000000000023,42.01954397394137,57.98045602605863
Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,base_hydrolysis,NaOH,mild,low,medium,low,25.0,6.0,0.01,12.0,100.0,0.0,3.0,0.8,2.18,0.91,434.4977,1.56,-4.1,93.06,2.0,6.0,2.0,5.0,13.73,-2.9,98.72999999999999,98.72999999999999,1.2700000000000102,41.74311926605492,58.25688073394508
Leucine,CC(C)C[C@H](N)C(O)=O,acid_hydrolysis,HCl,mild,low,medium,low,25.0,6.0,0.01,2.0,100.0,0.0,1.0,0.5,1.84,0.76,131.1729,-1.6,-0.27,63.32,2.0,3.0,3.0,0.0,2.79,9.52,98.92,98.92,1.0799999999999983,41.30434782608688,58.69565217391312
Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,5.0,2.5,6.31,2.66,176.1241,-1.9,0.14,107.22,4.0,5.0,2.0,1.0,4.16,-3.0,96.35,96.35,3.6500000000000057,42.155309033280496,57.844690966719504
Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,base_hydrolysis,NaOH,mild,low,medium,low,25.0,6.0,0.01,12.0,100.0,0.0,3.0,1.5,2.16,0.9,568.886,8.55,-5.9,40.46,2.0,2.0,10.0,2.0,18.22,-0.91,98.74000000000001,98.74000000000001,1.259999999999991,41.666666666666735,58.333333333333265
Oxytetracycline,[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,acid_hydrolysis,HCl,moderate,mid,medium,medium,40.0,6.0,0.1,1.2,100.0,0.0,9.0,3.0,7.11,3.0,460.434,-4.5,-2.5,201.85,7.0,10.0,2.0,4.0,2.84,7.41,95.89,95.89,4.109999999999999,42.19409282700422,57.80590717299578
Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,base_hydrolysis,NaOH,mild,low,medium,high,25.0,2.0,1.0,14.0,100.0,0.0,4.0,2.0,4.64,1.92,360.237,0.53,-2.6,109.57,2.0,5.0,2.0,2.0,9.29,-3.4,97.28,97.28,2.719999999999999,41.37931034482758,58.62068965517242
Fenoprofen,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,acid_hydrolysis,HCl,moderate,mid,medium,low,40.0,4.5,0.03,1.75,100.0,0.0,4.0,1.5,5.08,2.12,242.2699,3.65,-3.5,46.53,1.0,2.0,4.0,2.0,3.96,-3.7,97.04,97.04,2.9599999999999937,41.73228346456695,58.26771653543305
Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,acid_hydrolysis,HCl,mild,low,medium,low,25.0,6.0,0.01,2.0,100.0,0.0,2.0,0.8,1.87,0.77,308.4174,3.26,-5.5,55.12,2.0,2.0,6.0,3.0,16.51,10.4,98.89999999999999,98.89999999999999,1.1000000000000085,41.17647058823519,58.82352941176481
Fluticasone propionate,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,7.0,3.0,6.09,2.56,500.571,3.72,-4.6,80.67,1.0,4.0,6.0,4.0,13.61,-3.4,96.47,96.47,3.530000000000001,42.03612479474546,57.96387520525454
Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,2.0,1.0,2.68,1.07,321.158,3.53,-4.3,61.69,2.0,3.0,1.0,3.0,10.61,-2.2,98.38999999999999,98.38999999999999,1.6100000000000136,39.925373134328254,60.074626865671746
Pyrazinamide,NC(=O)C1=NC=CN=C1,base_hydrolysis,NaOH,moderate,mid,short,high,40.0,1.0,1.0,14.0,100.0,0.0,8.0,3.5,9.07,3.84,123.1127,-1.2,-0.12,68.87,1.0,3.0,1.0,1.0,13.06,-0.55,94.77000000000001,94.77000000000001,5.22999999999999,42.33737596471888,57.66262403528112
Darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,6.0,2.5,5.86,2.45,426.55,4.54,-6.2,55.56,1.0,3.0,7.0,5.0,16.21,10.11,96.59,96.59,3.4099999999999966,41.808873720136525,58.191126279863475
Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,9.0,3.5,12.44,5.29,421.415,1.7,-3.3,118.36,3.0,5.0,4.0,3.0,9.04,-3.1,92.85000000000001,92.85000000000001,7.1499999999999915,42.524115755627015,57.475884244372985
Darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,5.0,2.0,6.94,2.91,426.55,4.54,-6.2,55.56,1.0,3.0,7.0,5.0,16.21,10.11,95.97,95.97,4.030000000000001,41.93083573487033,58.06916426512967
Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,3.0,1.0,5.2,2.13,321.158,3.53,-4.3,61.69,2.0,3.0,1.0,3.0,10.61,-2.2,96.92999999999999,96.92999999999999,3.0700000000000074,40.96153846153844,59.03846153846156
Lysine,NCCCC[C@H](N)C(O)=O,acid_hydrolysis,HCl,moderate,mid,short,high,40.0,1.0,1.0,0.5,100.0,0.0,6.0,2.0,8.54,3.61,146.1876,-3.2,-0.14,89.34,3.0,4.0,5.0,0.0,2.74,10.29,95.07000000000001,95.07000000000001,4.929999999999993,42.271662763466075,57.728337236533925
Droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,6.0,2.5,5.11,2.13,379.4274,3.01,-3.6,52.65,1.0,3.0,6.0,4.0,12.72,6.75,97.02,97.02,2.980000000000004,41.68297455968689,58.31702544031311
Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,5.0,2.0,5.36,2.25,318.34,2.8,-4.6,56.84,1.0,4.0,10.0,1.0,,8.86,96.89,96.89,3.1099999999999994,41.97761194029851,58.02238805970149
Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,acid_hydrolysis,HCl,moderate,mid,medium,low,40.0,4.5,0.03,1.75,100.0,0.0,3.0,1.5,4.87,2.01,255.3547,3.81,-4.8,21.26,1.0,2.0,6.0,2.0,,9.8,97.14,97.14,2.8599999999999994,41.273100616016386,58.726899383983614
Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,acid_hydrolysis,HCl,moderate,mid,medium,low,40.0,4.5,0.03,1.75,100.0,0.0,7.0,2.5,5.22,2.19,226.2292,-1.2,-1.8,115.81,5.0,6.0,4.0,1.0,2.35,5.66,96.97,96.97,3.030000000000001,41.954022988505756,58.045977011494244
Fenoprofen,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,2.0,0.8,2.84,1.17,242.2699,3.65,-3.5,46.53,1.0,2.0,4.0,2.0,3.96,-3.7,98.33,98.33,1.6700000000000017,41.1971830985915,58.8028169014085
Leucine,CC(C)C[C@H](N)C(O)=O,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,2.0,1.0,3.19,1.31,131.1729,-1.6,-0.27,63.32,2.0,3.0,3.0,0.0,2.79,9.52,98.12,98.12,1.8799999999999955,41.06583072100317,58.93416927899683
Ornithine,NCCC[C@H](N)C(O)=O,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,3.0,1.0,3.67,1.53,132.161,-3.7,0.11,89.34,3.0,4.0,4.0,0.0,2.67,10.29,97.86,97.86,2.1400000000000006,41.68937329700271,58.31062670299729
Gadoteridol,[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,6.0,2.0,5.82,2.45,558.68,-6.8,-1.8,153.58,1.0,11.0,8.0,1.0,1.46,8.3,96.63000000000001,96.63000000000001,3.3699999999999903,42.09621993127153,57.90378006872847
Tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,5.0,2.0,6.75,2.83,157.2102,-1.6,-0.94,63.32,2.0,3.0,2.0,1.0,4.56,10.22,96.08,96.08,3.9200000000000017,41.92592592592593,58.07407407407407
Nicotine,CN1CCC[C@H]1C1=CN=CC=C1,base_hydrolysis,NaOH,moderate,mid,short,high,40.0,1.0,1.0,14.0,100.0,0.0,7.0,3.0,8.56,3.61,162.2316,1.16,-0.24,16.13,0.0,2.0,1.0,2.0,,8.58,95.05,95.05,4.950000000000003,42.17289719626167,57.82710280373833
Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,5.0,2.5,3.77,1.48,392.518,-0.5,-6.8,46.53,1.0,2.0,5.0,5.0,11.05,-4.5,97.71000000000001,97.71000000000001,2.289999999999992,39.25729442970826,60.74270557029174
Dihydroergotamine,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,acid_hydrolysis,HCl,moderate,mid,short,high,40.0,1.0,1.0,0.5,100.0,0.0,10.0,4.5,8.58,3.63,583.6774,2.71,-3.4,118.21,3.0,6.0,4.0,8.0,9.71,8.39,95.05,95.05,4.950000000000003,42.307692307692314,57.692307692307686
Acarbose,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,6.0,2.5,5.44,2.29,645.608,-8.3,-0.78,329.01,14.0,19.0,13.0,3.0,11.83,7.03,96.85000000000001,96.85000000000001,3.1499999999999915,42.09558823529414,57.90441176470586
Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,3.0,1.0,3.3,1.35,244.311,0.32,-2.3,78.43,3.0,3.0,5.0,2.0,4.4,-1.9,98.05,98.05,1.9500000000000028,40.90909090909094,59.09090909090906
Timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,base_hydrolysis,NaOH,mild,low,medium,low,25.0,6.0,0.01,12.0,100.0,0.0,3.0,1.0,2.04,0.83,316.42,1.34,-3.1,79.74,2.0,7.0,7.0,2.0,14.08,9.76,98.78999999999999,98.78999999999999,1.210000000000008,40.686274509803795,59.313725490196205
Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,15.0,8.0,12.39,5.28,780.9385,2.37,-3.8,203.06,6.0,13.0,7.0,8.0,7.15,-3.0,92.89,92.89,7.109999999999999,42.615012106537534,57.384987893462466
Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,3.0,1.5,3.38,1.39,630.838,2.37,-4.5,161.48,5.0,7.0,16.0,4.0,12.32,6.74,98.01,98.01,1.9899999999999949,41.12426035502964,58.87573964497036
Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,acid_hydrolysis,HCl,strong,high,short,high,60.0,0.5,1.0,0.5,100.0,0.0,18.0,7.0,13.23,5.64,339.4745,3.47,-3.8,59.22,1.0,3.0,8.0,2.0,16.19,10.42,92.41,92.41,7.590000000000003,42.63038548752833,57.36961451247167
Timolol,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,4.0,2.0,3.22,1.31,316.42,1.34,-3.1,79.74,2.0,7.0,7.0,2.0,14.08,9.76,98.09,98.09,1.9099999999999966,40.68322981366461,59.31677018633539
Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,4.0,1.0,3.14,1.27,199.313,1.0,-1.9,12.47,0.0,2.0,0.0,3.0,,8.59,98.13,98.13,1.8700000000000045,40.44585987261146,59.55414012738854
Darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,7.0,3.0,5.48,2.28,426.55,4.54,-6.2,55.56,1.0,3.0,7.0,5.0,16.21,10.11,96.8,96.8,3.200000000000003,41.60583941605836,58.39416058394164
Nitazoxanide,CC(=O)OC1=CC=CC=C1C(=O)NC1=NC=C(S1)[N+]([O-])=O,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,3.0,1.0,3.19,1.29,307.282,2.12,-4.6,111.43,1.0,5.0,5.0,2.0,10.62,-4.2,98.10000000000001,98.10000000000001,1.8999999999999915,40.43887147335426,59.56112852664574
Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,3.0,1.5,2.67,1.08,435.5188,5.27,-4.3,112.07,2.0,6.0,10.0,3.0,4.35,-0.64,98.41,98.41,1.5900000000000034,40.449438202247165,59.550561797752835
Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,3.0,1.0,4.75,1.92,319.872,3.93,-4.3,28.16,1.0,3.0,8.0,2.0,,10.32,97.17,97.17,2.8299999999999983,40.421052631578945,59.578947368421055
Lysine,NCCCC[C@H](N)C(O)=O,acid_hydrolysis,HCl,moderate,mid,medium,medium,40.0,6.0,0.1,1.2,100.0,0.0,5.0,2.0,6.9,2.91,146.1876,-3.2,-0.14,89.34,3.0,4.0,5.0,0.0,2.74,10.29,96.00999999999999,96.00999999999999,3.990000000000009,42.17391304347823,57.82608695652177
Fenoprofen,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,17.0,8.0,12.21,5.2,242.2699,3.65,-3.5,46.53,1.0,2.0,4.0,2.0,3.96,-3.7,92.99,92.99,7.010000000000005,42.58804258804256,57.41195741195744
Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,8.0,3.0,12.22,5.2,568.886,8.55,-5.9,40.46,2.0,2.0,10.0,2.0,18.22,-0.91,92.98,92.98,7.019999999999996,42.55319148936171,57.44680851063829
Codeine,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,7.0,2.5,7.16,3.02,299.3642,1.34,-2.7,41.93,1.0,4.0,1.0,5.0,13.78,9.19,95.86,95.86,4.140000000000001,42.178770949720686,57.821229050279314
Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,base_hydrolysis,NaOH,mild,low,medium,high,25.0,2.0,1.0,14.0,100.0,0.0,5.0,1.5,4.8,2.01,434.4977,1.56,-4.1,93.06,2.0,6.0,2.0,5.0,13.73,-2.9,97.21000000000001,97.21000000000001,2.789999999999992,41.875000000000014,58.124999999999986
Linezolid,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,3.0,1.0,3.0,1.25,337.3461,0.64,-2.4,71.11,1.0,5.0,4.0,3.0,14.85,-1.2,98.25,98.25,1.75,41.66666666666667,58.33333333333333
Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,acid_hydrolysis,HCl,moderate,mid,medium,medium,40.0,6.0,0.1,1.2,100.0,0.0,7.0,3.5,6.61,2.77,630.838,2.37,-4.5,161.48,5.0,7.0,16.0,4.0,12.32,6.74,96.16,96.16,3.8400000000000034,41.90620272314675,58.09379727685325
Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,base_hydrolysis,NaOH,moderate,mid,medium,medium,40.0,6.0,0.1,13.0,100.0,0.0,7.0,2.5,7.7,3.25,780.9385,2.37,-3.8,203.06,6.0,13.0,7.0,8.0,7.15,-3.0,95.55,95.55,4.450000000000003,42.207792207792195,57.792207792207805
